,bnb,Christofides,Twice-around-the-tree
0,NA,21831.0,21831.0
1,NA,7259275.0,7259275.0
2,NA,108390.0,108390.0
3,NA,34282.0,34282.0
4,NA,419703431.0,419703431.0
5,NA,65389.0,65389.0
6,NA,220607037.0,220607037.0
7,NA,166006229.0,166006229.0
8,NA,208958843.0,208958843.0
9,NA,187542129.0,187542129.0
